image_size,resolution1,resolution2,face_num,face_area,cpu_core,mem_total,disk_available,process_time
1147704,1920,1080,0,0,1,1018712064,7325061120,1.469604969
1150053,1920,1080,0,0,1,1018712064,7325052928,0.957613945
1151299,1920,1080,0,0,1,1018712064,7325052928,0.905212879
1119183,1920,1080,0,0,1,1018712064,7325052928,0.912744999
1117925,1920,1080,0,0,1,1018712064,7325052928,0.893465996
1121545,1920,1080,0,0,1,1018712064,7325048832,0.880337954
1116805,1920,1080,0,0,1,1018712064,7325048832,0.940904856
1122963,1920,1080,0,0,1,1018712064,7325048832,0.89369297
1125003,1920,1080,0,0,1,1018712064,7325048832,0.881087065
1126077,1920,1080,0,0,1,1018712064,7325048832,0.874012947
1121139,1920,1080,0,0,1,1018712064,7325048832,0.94982481
1119968,1920,1080,0,0,1,1018712064,7325048832,0.93205905
1118681,1920,1080,0,0,1,1018712064,7325048832,0.939283848
1119964,1920,1080,0,0,1,1018712064,7325048832,0.903218031
1123352,1920,1080,0,0,1,1018712064,7325048832,0.947069883
1129343,1920,1080,0,0,1,1018712064,7325048832,0.891153812
1132668,1920,1080,0,0,1,1018712064,7325048832,0.876366854
1132122,1920,1080,0,0,1,1018712064,7325048832,0.884888172
1131316,1920,1080,0,0,1,1018712064,7325048832,0.904270172
1133131,1920,1080,0,0,1,1018712064,7325048832,0.91860795
805779,1280,960,0,0,1,1018712064,7325048832,0.546113014
805994,1280,960,0,0,1,1018712064,7325048832,0.547983885
802130,1280,960,0,0,1,1018712064,7325048832,0.597131968
598441,1280,960,0,0,1,1018712064,7325048832,0.539685011
644690,1280,960,0,0,1,1018712064,7325048832,0.546098948
644277,1280,960,0,0,1,1018712064,7325048832,0.527345181
645841,1280,960,0,0,1,1018712064,7325048832,0.534524918
645060,1280,960,0,0,1,1018712064,7325048832,0.543100834
645502,1280,960,0,0,1,1018712064,7325048832,0.552042961
645978,1280,960,0,0,1,1018712064,7325048832,0.525466204
645750,1280,960,0,0,1,1018712064,7325048832,0.575603962
645790,1280,960,0,0,1,1018712064,7325048832,0.525866985
646162,1280,960,0,0,1,1018712064,7325048832,0.543015957
646158,1280,960,0,0,1,1018712064,7325048832,0.537719011
646200,1280,960,0,0,1,1018712064,7325048832,0.528307915
645167,1280,960,0,0,1,1018712064,7325048832,0.526643991
645386,1280,960,0,0,1,1018712064,7325048832,0.525579929
645819,1280,960,0,0,1,1018712064,7325048832,0.525763035
645648,1280,960,0,0,1,1018712064,7325048832,0.574843884
644489,1280,960,0,0,1,1018712064,7325048832,0.540329933
431613,1280,720,0,0,1,1018712064,7325048832,0.42177701
434595,1280,720,0,0,1,1018712064,7325048832,0.419224977
435649,1280,720,0,0,1,1018712064,7325048832,0.397337198
423087,1280,720,0,0,1,1018712064,7325048832,0.396845818
425059,1280,720,0,0,1,1018712064,7325048832,0.397330046
432063,1280,720,0,0,1,1018712064,7325048832,0.40260911
425713,1280,720,0,0,1,1018712064,7325048832,0.410770893
426491,1280,720,0,0,1,1018712064,7325048832,0.398519039
434276,1280,720,0,0,1,1018712064,7325048832,0.39826107
434497,1280,720,0,0,1,1018712064,7325048832,0.396002054
435318,1280,720,0,0,1,1018712064,7325048832,0.397888899
426544,1280,720,0,0,1,1018712064,7325044736,0.395061016
429232,1280,720,0,0,1,1018712064,7325044736,0.397902012
428477,1280,720,0,0,1,1018712064,7325044736,0.398139
428337,1280,720,0,0,1,1018712064,7325044736,0.394398928
428638,1280,720,0,0,1,1018712064,7325044736,0.395002127
435231,1280,720,0,0,1,1018712064,7325044736,0.414515018
433954,1280,720,0,0,1,1018712064,7325044736,0.395656824
433331,1280,720,0,0,1,1018712064,7325044736,0.405669928
433531,1280,720,0,0,1,1018712064,7325044736,0.405939817
1154897,1920,1080,1,34596,1,1018712064,7325044736,1.026255846
1157608,1920,1080,1,34410,1,1018712064,7325044736,0.951792002
1157237,1920,1080,1,49729,1,1018712064,7325044736,0.905164003
1127148,1920,1080,1,49729,1,1018712064,7325044736,1.003021002
1136638,1920,1080,1,49729,1,1018712064,7325044736,0.902730942
1121158,1920,1080,1,49729,1,1018712064,7325044736,0.8939569
1136554,1920,1080,1,49729,1,1018712064,7325044736,0.887311935
1130759,1920,1080,1,34596,1,1018712064,7325044736,0.878871202
1125128,1920,1080,1,34596,1,1018712064,7325044736,0.877304077
1137173,1920,1080,1,34596,1,1018712064,7325044736,0.897421837
1125027,1920,1080,1,49729,1,1018712064,7325044736,0.884300947
1126715,1920,1080,1,49729,1,1018712064,7325044736,0.878614902
1126354,1920,1080,1,34596,1,1018712064,7325044736,0.931807041
1127099,1920,1080,1,49729,1,1018712064,7325044736,0.88183713
1127369,1920,1080,1,49506,1,1018712064,7325044736,0.878938913
1124406,1920,1080,1,49506,1,1018712064,7325044736,0.900346994
1125710,1920,1080,1,49729,1,1018712064,7325044736,0.936949015
1130144,1920,1080,1,49729,1,1018712064,7325044736,0.883918047
1131368,1920,1080,0,0,1,1018712064,7325044736,0.874034882
1134231,1920,1080,0,0,1,1018712064,7325044736,0.878889799
623118,1280,960,1,24025,1,1018712064,7325044736,0.610722065
617889,1280,960,1,34410,1,1018712064,7325044736,0.535100937
617191,1280,960,1,49729,1,1018712064,7325044736,0.531977177
605862,1280,960,1,34225,1,1018712064,7325044736,0.530014992
605682,1280,960,0,0,1,1018712064,7325044736,0.522285938
598264,1280,960,0,0,1,1018712064,7325044736,0.527137995
612768,1280,960,0,0,1,1018712064,7325044736,0.531549931
604395,1280,960,1,24025,1,1018712064,7325044736,0.533478022
609633,1280,960,1,16641,1,1018712064,7325044736,0.53401804
611023,1280,960,1,24025,1,1018712064,7325044736,0.531419039
614830,1280,960,1,24025,1,1018712064,7325044736,0.532087088
613780,1280,960,1,24025,1,1018712064,7325044736,0.535567045
613741,1280,960,0,0,1,1018712064,7325044736,0.525119066
618767,1280,960,1,24025,1,1018712064,7325044736,0.529239893
617535,1280,960,1,24025,1,1018712064,7325044736,0.530553102
617462,1280,960,1,24025,1,1018712064,7325044736,0.530463934
615370,1280,960,1,16641,1,1018712064,7325044736,0.57835412
615396,1280,960,1,16641,1,1018712064,7325044736,0.528835058
614863,1280,960,1,16641,1,1018712064,7325044736,0.530001879
615828,1280,960,1,23870,1,1018712064,7325044736,0.533446789
462955,1280,720,1,49729,1,1018712064,7325044736,0.413594961
457266,1280,720,1,71556,1,1018712064,7325044736,0.420358181
456755,1280,720,1,49729,1,1018712064,7325044736,0.407669067
456499,1280,720,2,51237,1,1018712064,7325044736,0.411730051
455952,1280,720,0,0,1,1018712064,7325040640,0.398283005
451700,1280,720,0,0,1,1018712064,7325040640,0.399569988
458987,1280,720,0,0,1,1018712064,7325040640,0.396073818
457550,1280,720,0,0,1,1018712064,7325040640,0.414782047
458341,1280,720,0,0,1,1018712064,7325040640,0.398303986
458154,1280,720,1,34410,1,1018712064,7325040640,0.40139699
456649,1280,720,1,24025,1,1018712064,7325040640,0.405626059
453215,1280,720,1,34596,1,1018712064,7325040640,0.39919591
462922,1280,720,1,34596,1,1018712064,7325040640,0.401115894
455250,1280,720,1,34596,1,1018712064,7325040640,0.399758101
455155,1280,720,1,24025,1,1018712064,7325040640,0.402687073
459075,1280,720,1,34596,1,1018712064,7325040640,0.410429001
459242,1280,720,1,24025,1,1018712064,7325040640,0.405780077
459057,1280,720,1,34410,1,1018712064,7325040640,0.396667004
459729,1280,720,1,24025,1,1018712064,7325040640,0.405035019
459758,1280,720,1,34596,1,1018712064,7325040640,0.40385294
1162869,1920,1080,1,24025,1,1018712064,7325040640,0.889614105
1163679,1920,1080,1,24025,1,1018712064,7325040640,0.906566858
1164153,1920,1080,2,33282,1,1018712064,7325040640,0.873784781
1162572,1920,1080,2,47740,1,1018712064,7325040640,0.928226948
1137292,1920,1080,2,47895,1,1018712064,7325040640,0.883116007
1137822,1920,1080,2,40666,1,1018712064,7325040640,0.901340961
1136339,1920,1080,1,16641,1,1018712064,7325040640,0.875583887
1133786,1920,1080,0,0,1,1018712064,7325040640,0.936563969
1134933,1920,1080,1,16641,1,1018712064,7325040640,0.93957901
1136368,1920,1080,2,40666,1,1018712064,7325040640,0.882073879
1136485,1920,1080,2,33282,1,1018712064,7325040640,0.885354996
1137838,1920,1080,2,33282,1,1018712064,7325040640,0.977123022
1138850,1920,1080,1,24025,1,1018712064,7325040640,0.909232855
1138632,1920,1080,2,40666,1,1018712064,7325040640,0.895138025
1138231,1920,1080,2,33282,1,1018712064,7325040640,0.885292053
1136299,1920,1080,2,33282,1,1018712064,7325040640,0.933498144
1134872,1920,1080,2,33282,1,1018712064,7325040640,0.88173008
1136546,1920,1080,2,40511,1,1018712064,7325040640,0.877946138
1137069,1920,1080,2,40511,1,1018712064,7325040640,0.878850937
1137920,1920,1080,2,33282,1,1018712064,7325040640,0.885671139
616269,1280,960,2,19674,1,1018712064,7325040640,0.539654016
617875,1280,960,2,16020,1,1018712064,7325040640,0.530170918
615871,1280,960,2,16020,1,1018712064,7325040640,0.533066988
618460,1280,960,1,8010,1,1018712064,7325040640,0.527826786
609104,1280,960,2,19674,1,1018712064,7325040640,0.530515194
