0.55104,0.63079,0.6054,0.54879,0.56699,0.6892,0.48926,0.5275,0.54082,0.53797,0.39388,0.60249,0.60962,3.4492e-18,0.50097,0.43895,0.48574,0.62225,0.62792,0.55428,0.41375,0.56608,0.50044,0.4571,0.63121,0.57086,0.50274,0.60166
0.76904,0.91665,0.80029,0.77637,0.81723,0.98999,0.6839,0.7219,0.81388,0.75268,0.55,0.90137,0.8458,-1.8216e-18,0.70032,0.67019,0.69182,0.83991,0.84414,0.78446,0.58291,0.83268,0.71181,0.67242,0.88461,0.81068,0.66057,0.8636
0.5106,0.59835,0.54081,0.51201,0.54022,0.64469,0.45401,0.48233,0.52839,0.50046,0.36629,0.58497,0.56532,2.253e-18,0.46495,0.43362,0.4561,0.56981,0.57212,0.51887,0.38649,0.54511,0.46967,0.44165,0.58189,0.53475,0.45211,0.57123
0.8953,1.0667,0.92517,0.90259,0.96218,1.1417,0.79669,0.83832,0.95735,0.87902,0.64297,1.0567,0.98996,1.5155e-18,0.81595,0.79054,0.80679,0.98733,0.98884,0.9156,0.68082,0.97851,0.83042,0.79347,1.0199,0.94462,0.77381,1.0154
0.86523,1.0293,0.90611,0.87341,0.91291,1.117,0.76914,0.81404,0.90753,0.84543,0.61755,1.007,0.94947,-3.3088e-18,0.78754,0.74576,0.77686,0.94235,0.94889,0.88084,0.65447,0.93004,0.79923,0.74952,0.99958,0.91083,0.74352,0.96557
0.46025,0.5723,0.44776,0.47115,0.50927,0.60779,0.41016,0.42205,0.52876,0.4525,0.33014,0.58134,0.50447,-4.3777e-18,0.42008,0.44191,0.42357,0.48675,0.48586,0.47733,0.35309,0.52901,0.43531,0.42819,0.52894,0.4946,0.3698,0.53548
0.62844,0.73814,0.66524,0.63094,0.66339,0.79736,0.5587,0.59352,0.65052,0.61535,0.45017,0.72083,0.69426,1.5868e-18,0.57214,0.53369,0.56162,0.69771,0.70122,0.63852,0.47538,0.67055,0.57822,0.54247,0.71877,0.65856,0.55345,0.70165
0.55501,0.6614,0.57433,0.55972,0.59505,0.70931,0.49382,0.51995,0.59225,0.54455,0.39823,0.65419,0.61297,4.3186e-19,0.50574,0.48878,0.49998,0.61071,0.61211,0.5673,0.42176,0.60544,0.51458,0.4905,0.63363,0.5855,0.47897,0.62814
0.37303,0.44371,0.39029,0.37648,0.3942,0.48095,0.33163,0.35084,0.39182,0.36465,0.2664,0.43456,0.40966,-1.2119e-18,0.33957,0.3221,0.335,0.40684,0.40947,0.37989,0.28229,0.40148,0.34467,0.32375,0.43037,0.39273,0.32085,0.41686
0.4935,0.57264,0.52955,0.49321,0.51823,0.61856,0.43863,0.46836,0.50162,0.48344,0.354,0.55605,0.54723,3.2599e-18,0.4492,0.41026,0.43867,0.55529,0.55805,0.49982,0.37272,0.52033,0.45187,0.42163,0.56169,0.51467,0.44342,0.5485
0.68054,0.82593,0.7,0.69288,0.71804,0.90229,0.60489,0.63623,0.72931,0.66286,0.48304,0.81082,0.73902,-9.3406e-18,0.61924,0.60092,0.61566,0.71866,0.72579,0.69512,0.51483,0.74058,0.63265,0.5934,0.79826,0.72163,0.56177,0.75939
